Running with CUDA on GPU 0	
Epoch 2.08 / 25, i = 326 / 7575, loss = 0.292249	
Epoch 2.08 / 25, i = 327 / 7575, loss = 0.290518	
Epoch 2.08 / 25, i = 328 / 7575, loss = 0.282824	
Epoch 2.09 / 25, i = 329 / 7575, loss = 0.289387	
Epoch 2.09 / 25, i = 330 / 7575, loss = 0.289879	
Epoch 2.09 / 25, i = 331 / 7575, loss = 0.285480	
Epoch 2.10 / 25, i = 332 / 7575, loss = 0.280400	
Epoch 2.10 / 25, i = 333 / 7575, loss = 0.274451	
Epoch 2.10 / 25, i = 334 / 7575, loss = 0.275194	
Epoch 2.11 / 25, i = 335 / 7575, loss = 0.267376	
Epoch 2.11 / 25, i = 336 / 7575, loss = 0.274870	
Epoch 2.11 / 25, i = 337 / 7575, loss = 0.273071	
Epoch 2.12 / 25, i = 338 / 7575, loss = 0.262207	
Epoch 2.12 / 25, i = 339 / 7575, loss = 0.267231	
Epoch 2.12 / 25, i = 340 / 7575, loss = 0.263509	
Epoch 2.13 / 25, i = 341 / 7575, loss = 0.258940	
Epoch 2.13 / 25, i = 342 / 7575, loss = 0.271555	
Epoch 2.13 / 25, i = 343 / 7575, loss = 0.260465	
Epoch 2.14 / 25, i = 344 / 7575, loss = 0.261138	
Epoch 2.14 / 25, i = 345 / 7575, loss = 0.262210	
Epoch 2.14 / 25, i = 346 / 7575, loss = 0.250474	
Epoch 2.15 / 25, i = 347 / 7575, loss = 0.246033	
Epoch 2.15 / 25, i = 348 / 7575, loss = 0.256806	
Epoch 2.15 / 25, i = 349 / 7575, loss = 0.250852	
Epoch 2.16 / 25, i = 350 / 7575, loss = 0.248381	
Epoch 2.16 / 25, i = 351 / 7575, loss = 0.265712	
Epoch 2.16 / 25, i = 352 / 7575, loss = 0.272932	
Epoch 2.17 / 25, i = 353 / 7575, loss = 0.259596	
Epoch 2.17 / 25, i = 354 / 7575, loss = 0.269003	
Epoch 2.17 / 25, i = 355 / 7575, loss = 0.257946	
Epoch 2.17 / 25, i = 356 / 7575, loss = 0.262126	
Epoch 2.18 / 25, i = 357 / 7575, loss = 0.258066	
Epoch 2.18 / 25, i = 358 / 7575, loss = 0.246374	
Epoch 2.18 / 25, i = 359 / 7575, loss = 0.245990	
Epoch 2.19 / 25, i = 360 / 7575, loss = 0.248815	
Epoch 2.19 / 25, i = 361 / 7575, loss = 0.240971	
Epoch 2.19 / 25, i = 362 / 7575, loss = 0.239674	
Epoch 2.20 / 25, i = 363 / 7575, loss = 0.238481	
Epoch 2.20 / 25, i = 364 / 7575, loss = 0.227196	
Epoch 2.20 / 25, i = 365 / 7575, loss = 0.234905	
Epoch 2.21 / 25, i = 366 / 7575, loss = 0.233974	
Epoch 2.21 / 25, i = 367 / 7575, loss = 0.228695	
Epoch 2.21 / 25, i = 368 / 7575, loss = 0.232881	
Epoch 2.22 / 25, i = 369 / 7575, loss = 0.232008	
